id,title,summary,content,date
1,Giá xoài tăng mạnh tại miền Tây,"Giá xoài tăng do nhu cầu tăng.","Tuần qua, giá xoài tăng 20% do thời tiết thuận lợi và nhu cầu xuất khẩu tăng cao.",2024-03-20
2,Sầu riêng Việt Nam vào thị trường Trung Quốc,"Sầu riêng được xuất khẩu sang Trung Quốc.","Thị trường Trung Quốc chính thức cho phép nhập khẩu sầu riêng Việt Nam, mở ra cơ hội lớn cho nông dân.",2024-04-01
3,Nhiều loại trái cây bước vào mùa thu hoạch,"Nhiều loại trái cây đã vào vụ.","Hiện nhiều loại trái cây như mận, vải, mít đã bắt đầu vào vụ thu hoạch, giá có xu hướng ổn định.",2024-05-01
4,Giá dưa hấu giảm mạnh,"Giá dưa hấu giảm do nguồn cung tăng.","Giá dưa hấu hiện tại chỉ còn 5.000 đồng/kg, giảm 50% so với tháng trước.",2024-06-15
5,Thị trường trái cây xuất khẩu tăng trưởng mạnh,"Xuất khẩu trái cây tăng trưởng mạnh.","Xuất khẩu trái cây Việt Nam sang các thị trường lớn như Mỹ, EU, Nhật Bản tăng trưởng mạnh trong năm qua.",2024-07-10
6,Giá bưởi da xanh tăng cao,"Giá bưởi da xanh tăng do nhu cầu tăng.","Giá bưởi da xanh hiện tại đã lên tới 50.000 đồng/kg, tăng 30% so với tháng trước.",2024-08-05
7,Thời tiết ảnh hưởng đến sản lượng trái cây,"Thời tiết bất lợi ảnh hưởng đến sản lượng.","Thời tiết nắng nóng kéo dài đã ảnh hưởng đến sản lượng trái cây tại miền Nam.",2024-09-15
8,Giá nho Mỹ tăng mạnh,"Giá nho Mỹ tăng do nhu cầu cao.","Giá nho Mỹ hiện tại đã lên tới 200.000 đồng/kg, tăng 40% so với tháng trước.",2024-10-01
9,Thị trường trái cây nội địa ổn định,"Thị trường trái cây nội địa ổn định.","Thị trường trái cây nội địa hiện tại khá ổn định, không có biến động lớn về giá cả.",2024-11-20
10,Giá táo Fuji giảm nhẹ,"Giá táo Fuji giảm do nguồn cung tăng.","Giá táo Fuji hiện tại đã giảm xuống còn 40.000 đồng/kg, giảm 10% so với tháng trước.",2024-12-01
11,Giá mít tố nữ tăng cao,"Giá mít tố nữ tăng do nhu cầu tăng.","Giá mít tố nữ hiện tại đã lên tới 30.000 đồng/kg, tăng 20% so với tháng trước.",2024-12-15
12,Thị trường trái cây xuất khẩu gặp khó khăn,"Xuất khẩu trái cây gặp khó khăn.","Xuất khẩu trái cây Việt Nam sang Trung Quốc gặp khó khăn do chính sách kiểm soát dịch bệnh.",2024-12-20
13,Giá dưa lưới tăng mạnh,"Giá dưa lưới tăng do nhu cầu cao.","Giá dưa lưới hiện tại đã lên tới 100.000 đồng/kg, tăng 50% so với tháng trước.",2024-12-25
14,Thời tiết ảnh hưởng đến giá trái cây,"Thời tiết ảnh hưởng đến giá cả.","Thời tiết nắng nóng kéo dài đã ảnh hưởng đến giá cả nhiều loại trái cây tại miền Nam.",2024-12-30
15,Giá nho xanh giảm nhẹ,"Giá nho xanh giảm do nguồn cung tăng.","Giá nho xanh hiện tại đã giảm xuống còn 80.000 đồng/kg, giảm 10% so với tháng trước.",2024-12-31
16,Giá bơ sáp tăng cao,"Giá bơ sáp tăng do nhu cầu tăng.","Giá bơ sáp hiện tại đã lên tới 70.000 đồng/kg, tăng 30% so với tháng trước.",2024-12-31
17,Thị trường trái cây nội địa tăng trưởng,"Thị trường trái cây nội địa tăng trưởng.","Thị trường trái cây nội địa hiện tại đang có xu hướng tăng trưởng mạnh, đặc biệt là các loại trái cây nhập khẩu.",2024-12-31
18,Giá chôm chôm tăng mạnh,"Giá chôm chôm tăng do nhu cầu cao.","Giá chôm chôm hiện tại đã lên tới 60.000 đồng/kg, tăng 40% so với tháng trước.",2024-12-31
19,Giá bưởi Năm Roi ổn định,"Giá bưởi Năm Roi ổn định.","Giá bưởi Năm Roi hiện tại vẫn giữ ở mức 30.000 đồng/kg, không có biến động lớn.",2024-12-31
20,Giá nho đen tăng nhẹ,"Giá nho đen tăng do nhu cầu tăng.","Giá nho đen hiện tại đã lên tới 150.000 đồng/kg, tăng 10% so với tháng trước.",2024-12-31